TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_POCA,POCA,0.666666700,7834.166500000,POCA,0.800000000,9032.800000000
veg_POCA__carn_POCA,POCA,0.766666651,8827.667000000,POCA,0.866666700,9154.866000000
veg_POCA__carn_POCA,POCA,0.600000000,7195.200000000,POCA,0.666666700,8801.934000000
veg_POCA__carn_POCA,POCA,0.766666651,8753.033000000,POCA,0.733333349,9289.200000000
veg_POCA__carn_POCA,POCA,0.566666663,8385.134000000,POCA,0.733333349,9642.267000000
veg_POCA__carn_POCA,POCA,0.700000000,9068.566000000,POCA,0.866666700,9904.800000000
veg_POCA__carn_POCA,POCA,0.766666651,8306.900000000,POCA,0.466666669,7779.800000000
veg_POCA__carn_POCA,POCA,0.700000000,8553.500000000,POCA,0.800000000,9341.667000000
veg_POCA__carn_POCA,POCA,0.633333300,7664.467000000,POCA,0.333333343,7362.733400000
veg_POCA__carn_POCA,POCA,0.866666700,9418.467000000,POCA,0.666666700,8969.733000000
veg_POCA__carn_POCA,POCA,0.766666651,8710.434000000,POCA,0.533333361,8442.333000000
veg_POCA__carn_POCA,POCA,0.900000000,9225.833000000,POCA,0.533333361,8594.866000000
veg_POCA__carn_POCA,POCA,0.633333300,8091.300000000,POCA,0.666666700,9098.934000000
veg_POCA__carn_POCA,POCA,0.700000000,8106.533000000,POCA,0.600000000,8580.000000000
veg_POCA__carn_POCA,POCA,0.800000000,8737.767000000,POCA,0.600000000,8256.866000000
veg_POCA__carn_POCA,POCA,0.633333300,8312.733000000,POCA,0.733333349,9044.600000000
veg_POCA__carn_POCA,POCA,0.766666651,8712.167000000,POCA,0.533333361,8211.066000000
veg_POCA__carn_POCA,POCA,0.733333349,8436.667000000,POCA,0.466666669,7011.666500000
veg_POCA__carn_POCA,POCA,0.666666700,8680.434000000,POCA,0.733333349,9292.733000000
veg_POCA__carn_POCA,POCA,0.666666700,7966.200000000,POCA,0.533333361,8369.600000000
veg_POCA__carn_POCA,POCA,0.733333349,8386.434000000,POCA,0.733333349,9331.600000000
veg_POCA__carn_POCA,POCA,0.833333300,9200.533000000,POCA,0.533333361,8042.400000000
veg_POCA__carn_POCA,POCA,0.833333300,9084.100000000,POCA,0.466666669,8295.467000000
veg_POCA__carn_POCA,POCA,0.733333349,8176.866700000,POCA,0.666666700,9117.000000000
veg_POCA__carn_POCA,POCA,0.800000000,8644.900000000,POCA,0.666666700,8782.134000000
veg_POCA__carn_POCA,POCA,0.833333300,9018.500000000,POCA,0.466666669,8107.666500000
veg_POCA__carn_POCA,POCA,0.666666700,8019.633300000,POCA,0.866666700,9625.533000000
veg_POCA__carn_POCA,POCA,0.700000000,8343.533000000,POCA,0.200000000,7923.533000000
veg_POCA__carn_POCA,POCA,0.733333349,8297.200000000,POCA,0.600000000,7957.200000000
veg_POCA__carn_POCA,POCA,0.600000000,7308.333500000,POCA,0.533333361,7533.733400000
veg_POCA__carn_POCA,POCA,0.666666700,8237.434000000,POCA,0.866666700,9326.000000000
veg_POCA__carn_POCA,POCA,0.800000000,8804.434000000,POCA,0.600000000,8671.733000000
veg_POCA__carn_POCA,POCA,0.766666651,9088.434000000,POCA,0.733333349,9458.134000000
veg_POCA__carn_POCA,POCA,0.633333300,7592.233400000,POCA,0.533333361,8381.267000000
veg_POCA__carn_POCA,POCA,0.666666700,7667.200000000,POCA,0.733333349,9069.800000000
veg_POCA__carn_POCA,POCA,0.633333300,8194.600000000,POCA,0.266666681,6720.733400000
veg_POCA__carn_POCA,POCA,0.766666651,8341.566000000,POCA,0.666666700,9023.733000000
veg_POCA__carn_POCA,POCA,0.866666700,9540.000000000,POCA,0.533333361,8418.533000000
veg_POCA__carn_POCA,POCA,0.633333300,7603.400000000,POCA,0.666666700,8987.267000000
veg_POCA__carn_POCA,POCA,0.700000000,8977.134000000,POCA,1.000000000,10000.000000000
